"topic_model_prompt_ids","topic_model","prompt_id","datasets","example_text_in_prompt","report"
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","boy reach for cookie jar on top of cupboard stool stumble and fall girl wait to help him stand up think about what happened then she notices the spilled cookies puddle floor woman steps carefully but stumbles again hm tries wiping her hands with a dish towel finds it tangled in curtain mix water from sink onto dishes cause spill happens outside yard"
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","young boy knocks over cookie jar while reaching for snacks on cupboard stool, girl rushes to help him up and realizes there's been an accident. They both step cautiously around the mess as she dries off his hand but accidentally spills some dishwater near a window where it drips out onto their garden."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","child playing in backyard suddenly trips spilling cookies from open jar into water trough causing chaos; mother steps outside, sees children struggling with spilled cookie dough and decides to clean up. She ends her day by making breakfast while pondering over the day's events as she listens for any signs of trouble or distress around house."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","boy reaches out too far trying grab cooky off cupboard top stool falls girl rushes in help him get back on feet but thinks momentarily before helping; he knocks cookie jar, jars spill into sink and water spills onto floor. Mother steps outside to tidy up as she hears the beep of dishwasher from inside."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","kids playing with toys suddenly start yelling out loud because one child broke a toy bird that was sitting in their sandbox by accident mom goes back indoors after briefly stepping away; she's now frustrated but decides it's time for lunch and hopes things will calm down soon."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","child accidentally knocks over cookie jar while reaching up too high on cupboard stool, girl rushes to help him stand before she notices the mess of cookies spilled onto floor near sink where water starts running out from it."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","boy reaches cooky off top shelf in kitchen but slips and falls; mom comes into room after hearing noise downstairs then sees kids playing with cookie jar that has fallen over spilling its contents all around. Mom decides to clean up before she goes outside for a walk while thinking about the day's events"
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","child reaching too far from cupboard stool knocks cooky off top shelf, girl rushes in help him get back on feet but thinks momentarily; he spills cookies into sink causing water spill onto floor and garden as mom steps out of house to clean up mess."
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","boy reaches for cookie jar while standing at kitchen counter with his hands full. He loses balance from the stool behind it then falls, spilling cooky everywhere in yard where mother hears him crying over lost treat; she goes outside after hearing a noise downstairs"
"6-MATAVE","MATAVE","6","dementiaAudio","boy reach cooky jar cupboard stool break girl wait hand cooky cupboard try cooky outof jar stool topple think realize fall reach cookie water sink make puddle floor woman go step step wrong hm try dry dish get curtain mix dish dry think glass oh water run outof sink happen yard","boy reach for cookie jar, stool topple over girl waits nearby hand slips catch try again from cupboard spill think fall down realize mess on floor woman steps in carefully wipes up dish then accidentally knocks curtain into sink water flows out and spills onto yard."
