"topic_model","coherence","diversity","redundancy","time","dataset","domain","example_notes","topic_keywords"
"MATAVE","0.43757503955464494","0.85","0.9727272727272728","7.714608192443848","yahoo","non-factoid question","guess hack way account change password immediately*** SEPARATION ***basicly mean good behavior yes mam sir mam sir burp loud sort stuff*** SEPARATION ***americans think londoners speak queens english like twat cockney work class pearly king queen americans confuse twang aussie educate people region like depend exposure different culture lack*** SEPARATION ***truth find charity pickle pizza babe*** SEPARATION ***foot spa foot scrub stubborn hard use salicylic acid*** SEPARATION ***yes call report abuse button bother make noise go to lose point noise maker eventually*** SEPARATION ***billiard pool actually different game look similar billiard table large pocket*** SEPARATION ***mean highly competitive lot mean nastiness go like claim work start rumor discredit competition sabotage people effort beat","Other topic keywords: delete click internet software file folder account panel yahoo browser
Other topic keywords: god depressed true define wish thank language affect understand ear
Other topic keywords: language israel country english terrorist america destruction freedom french american
Other topic keywords: fruit meat smell cholesterol pork diet sugar bowl sauce soup
Other topic keywords: cat female male hydrogen electron atom skin polar compound allergy
Other topic keywords: ear weigh sing sleep idle breath waste drink trespass variable
Other topic keywords: air blow super petrol gasket fold fan crack billiard glass
Other topic keywords: commerce business skill education retailer nanny yup marts wal appraiser"
"LDA","0.3712720085336206","0.6923076923076923","0.8974358974358975","0.7858579158782959","yahoo","non-factoid question","mini pizza bagel english muffin sauce english muffin bagel cheese topping like microwave cheese melt mini pizza*** SEPARATION ***petrol burn stam energy steam make crankshaft crankshaft rotate wheel*** SEPARATION ***contact toshiba premier service provider company typically independent toshiba service toshiba laptop year shop good laptop service center*** SEPARATION ***cyst ovary have irregular period fist start go gynecologist find cyst cyst surgery baby fine take birth control pill regulate period year treatment work young live pain long time recomend gyneacologist check wrong*** SEPARATION ***yahoo error mean exceed bandwidth limit yahoo website wait try later*** SEPARATION ***fluid red black hubby work transmission answer able help*** SEPARATION ***people marriage seriously people selfish guess*** SEPARATION ***allergy cause expose time expose big deal expose bad get take year something bother especially spring allergy pollen strong year*** SEPARATION ***use cd come setup modem hook ethernet cable wireless router ethernet socket easy thing buy wireless router usually cost*** SEPARATION ***good way soup frig cool grease solidifie*** SEPARATION ***freezer light know old freezer new model year equip light maybe freezer think light emit heat warm food short period time door open*** SEPARATION ***guess depend dictionary webster special childish call version*** SEPARATION ***oatmeal rich source dietary fiber discover lower cholesterol level separate research study think oat fiber mix cholesterol small intestine carry cholesterol body instead absorb blood food drug administration convince oatmeal food carry distinction label lower cholesterol level","Other topic keywords: like click time use computer internet want good think polar
Other topic keywords: like mean people system think ram delete change glass prayer
Other topic keywords: know like hair ball israel good want people check cue
Other topic keywords: need system ur chat way year different loan stand room
Other topic keywords: like know think find doubt mean time try lose go
Other topic keywords: try etc day person email internet delete good browser reason
Other topic keywords: file good answer like people try english find mean hard
Other topic keywords: people gas oil body come time force price want cause
Other topic keywords: u software good water movie key electron tautomer air mix
Other topic keywords: think remove program help cat look click start need question
Other topic keywords: new life pc time system cell old know christ love
Other topic keywords: god leave well use business long good bell know problem
Other topic keywords: thing feel think eat food help body time try work"
"MATAVE","0.5767010246564358","0.9333333333333333","0.9333333333333333","3.5356500148773193","banking77","banking text","hello face issue new card payment decline help issue*** SEPARATION ***exchange rate change process make withdrawal*** SEPARATION ***need cancel recent transfer soon possible error help go","Other topic keywords: pin virtual disposable morning machine steal twice american express keep
Other topic keywords: rate foreign abroad saturday accurate hide electronic mess determine post
Other topic keywords: able abroad access accurate action activate activation activity actually advise"
"LDA","0.30656663211045326","0.7","0.79","0.8135459423065186","banking77","banking text","price expired card replacement long*** SEPARATION ***receive item order want cancel refund guide*** SEPARATION ***come cash deposit show right mistake cash well lose need money asap*** SEPARATION ***mug lose access account app*** SEPARATION ***think rate apply purchase foreign currency wrong help","Other topic keywords: charge account money card go extra fee payment use seller
Other topic keywords: payment exchange tell card refund rate purchase buy item direct
Other topic keywords: charge need fee ago possible money account couple help receive
Other topic keywords: card transfer account money atm work payment want day app
Other topic keywords: card exchange transfer rate cash get wrong need try withdrawal"
"MATAVE","0.5515697376799685","1.0","1.0","3.2579588890075684","huffPostNews","news","year photograph lgbt student athlete high school college sport team series title fearless course work fearless feel miss story voice photograph take*** SEPARATION ***man go today man suit holler child stand line*** SEPARATION ***kelly deliver pointed monologue monday colleague","Other topic keywords: huffpost twitter facebook pinterest style star instagram wedding divorce actress
Other topic keywords: stress cancer yoga build skin matter disease mental degree skill
Other topic keywords: conservative congress agenda democrats nominee consequence bernie biden shoot opinion"
"LDA","0.41499782566976423","0.6777777777777778","0.9156862745098039","0.5496780872344971","huffPostNews","news","prepare cover discover precisely zero actress color oscar conversation appalling*** SEPARATION ***enter holiday season wish forward empathy kindheartedness peace appear seed need reality plant wayne lapierre*** SEPARATION ***pilot fuel complete epic trip*** SEPARATION ***happy birthday mom scandal star*** SEPARATION ***stress common refrain day think stress pervasive fact life consider*** SEPARATION ***disapprove witness report lewd act costumed creature police say*** SEPARATION ***big way strong spectacular impression ready face world let glimpse imp dutch boy haircut need*** SEPARATION ***feel lack vision pluck hide treasure thrift store craigslist flea market turn amazing recently opportunity arise challenge*** SEPARATION ***candice lake breeze hotel costes camera tow fresh viktor rolf tuileries locate rue honoré hotel courtyard destination paris fashion week*** SEPARATION ***want love world spew animosity root lack self love come close matter mean freeing way possible*** SEPARATION ***short love new york way way city way way street big apple*** SEPARATION ***sadly latin long teach widely think rarifie case elitist student learn understand system think systematically today world word coding*** SEPARATION ***extra point refer donald trump guy*** SEPARATION ***humble task yoga stay sensation breath posture gaze point calm mind experience reality*** SEPARATION ***overcome anxiety need learn aware trigger*** SEPARATION ***today ministry lead career military officer active duty*** SEPARATION ***important thing say jack arends take jab trump sharpie cast vote*** SEPARATION ***officer pursue woman son run stop sign police say","Other topic keywords: woman life say president black way trump today get cancer
Other topic keywords: black season find new live youth take presidential research look
Other topic keywords: say year future people great husband die yo day pant
Other topic keywords: say patron cavaliers maybe floral finally potential wear percent jeter
Other topic keywords: president year photo actually day time feel say need think
Other topic keywords: say american ask vote administration student trump year high make
Other topic keywords: people think like say go ancient base true need year
Other topic keywords: twitter facebook check huffpost want pinterest sure tumblr feel style
Other topic keywords: trump take people say school week high photograph fearless hotel
Other topic keywords: come say know week iraq life photo well gop jeb
Other topic keywords: way world year group trump woman friday chief era despite
Other topic keywords: think turn know experience sign feature vatican death stress world
Other topic keywords: start know come day include time girl road trump find
Other topic keywords: time year go people find help americans sense sure run
Other topic keywords: know famous come get grab family fight continue hear time
Other topic keywords: fact business people like experience fill customer matter accept space
Other topic keywords: trump healthy face wish president trust good shutter pear chocolate
Other topic keywords: child way say get build begin people good drug use"
"MATAVE","0.39439504442259604","0.87","0.9688888888888889","3.189783811569214","clinc150","multi-domain intent","need know dollar peso conversion*** SEPARATION ***need new card mail long*** SEPARATION ***find reason lock bank account*** SEPARATION ***okay use water place milk","Other topic keywords: card limit credit point increase application reward fee apr score
Other topic keywords: card report fraudulent decline credit expiration application expire yesterday activity
Other topic keywords: account interest money pin rout checking saving deposit bank pay
Other topic keywords: calendar reservation pto car request reminder city march restaurant mom"
"LDA","0.37652689920473886","0.6076923076923076","0.8512820512820513","0.5104598999023438","clinc150","multi-domain intent","find happen card decline yesterday*** SEPARATION ***cancel reservation joe right zepher reservation book*** SEPARATION ***need instruction jump start car*** SEPARATION ***respond professor email list reminder*** SEPARATION ***miss place luggage delta flight new york*** SEPARATION ***possible increase credit limit dollar*** SEPARATION ***think chase account compromise fraud commit*** SEPARATION ***run tissue need order asap*** SEPARATION ***help set direct deposit bank hawaii check account*** SEPARATION ***transfer seventy dollar national citizen account*** SEPARATION ***transfer dollar bank america account capital account*** SEPARATION ***staff meeting march need add calendar*** SEPARATION ***minimum payment eddie bauer card","Other topic keywords: card credit need application transaction check report tell status find
Other topic keywords: account reservation need visa go travel cancel car check long
Other topic keywords: new need rate account help job car rollover exchange saving
Other topic keywords: need know list car want tell travel add shopping oil
Other topic keywords: need use flight june book know day near friday song
Other topic keywords: increase card limit credit want possible discover step buy order
Other topic keywords: look car right go reservation way macaroni dollar process bank
Other topic keywords: need good find new know time like reservation restaurant review
Other topic keywords: know tell account like set let bank card find expiration
Other topic keywords: account checking bank know want reason place time rout number
Other topic keywords: account bill pay need number want change tell calorie check
Other topic keywords: card point reward know credit tell express american good person
Other topic keywords: account routing number tell add fun money check card playlist"
"MATAVE","0.49176745451714154","0.86","0.92","3.0254058837890625","atis","air travel information system","flight leave san francisco denver september thirtieth*** SEPARATION ***list air flight miami cleveland leave sunday afternoon*** SEPARATION ***list takeoff landing general mitchell airport","Other topic keywords: pittsburgh milwaukee orlando diego indianapoli phoenix toronto las vegas tampa
Other topic keywords: cheap january ticket business fort worth pittsburgh expensive low unite
Other topic keywords: general mitchell tenth close kansas orlando bwi milwaukee delta itinerary"
"LDA","0.3232116421083714","0.65","0.7642857142857142","0.7249789237976074","atis","air travel information system","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank*** SEPARATION ***flight houston milwaukee friday evening american airline*** SEPARATION ***find early possible flight boston denver*** SEPARATION ***like flight washington boston leave august twentieth*** SEPARATION ***way fare san diego miami nonstop*** SEPARATION ***list flight oakland san francisco*** SEPARATION ***afternoon flight available pittsburgh atlanta weekday*** SEPARATION ***round trip flight st petersburg toronto","Other topic keywords: flight st louis morning like charlotte milwaukee boston chicago stop
Other topic keywords: flight dallas baltimore boston denver airlines cost fly oakland united
Other topic keywords: flight atlanta denver boston dallas morning early washington philadelphia dc
Other topic keywords: flight pittsburgh denver pm leave boston arrive philadelphia thursday list
Other topic keywords: fare flight way cheap boston miami air like class dallas
Other topic keywords: san francisco flight boston leave denver like airline pittsburgh baltimore
Other topic keywords: flight vegas las trip city round long beach atlanta new
Other topic keywords: tomorrow flight worth fort washington like toronto twa airline houston"
