"report"
"""little boy see cookie jar fall stool go outside spill water on floor mother come mop quickly little girl notice cooky slip let juice run sink under table okay wait for help sister reach window clean foot wet ground near door"""
"""sink dish break suddenly letting cookies out kitchen mom rush to tidy up spilled food brother sees toy falling off shelf guess where cookie went next quick action needed outside rain puddle soak shoes boy and dog play nearby spill happens again cooky slips away mystery solved little one finds hidden treat under couch wait for mother home safe girl read book quietly"""
"""jar of cookies falls from table stool toppled over water spills everywhere mom rushes in kitchen sink fills up with mess brother sees opportunity to grab cookie before anyone notices boy outside playing catch ball gets wet and runs inside sister laughs cooky slips away into small nook under couch wait for mother home safe little dog watches curiously"""
"""girl spots cookies falling from jar onto floor quickly grabs handful of crumbs while mom cleans kitchen sink spills spread everywhere suddenly water splashes brother rushes in worried about broken dishes girl finds cookie hiding spot behind sofa waits quietly as everyone finishes cleaning boy curious outside near garden gate sister giggles at the chaos cooky safely tucked away under bed"""
"""jar tumbles off table stool onto floor mother starts to mop up mess while little brothers watch helplessly water spills everywhere suddenly sink fills with soapy suds brother slips and falls mom rushes in alarm girl sees cookie on ground grabs handful before anyone notices boy outside playing ball gets wet runs inside sister laughs cooky hidden under bed safe for now"""
"""little one watches cookies fall from jar onto floor quickly scoops up crumbs while mother cleans kitchen sink water spills everywhere suddenly a bird flies into window brother catches it surprised little dog barks loudly girl finds cookie hiding spot behind sofa waits quietly as everyone finishes cleaning boy outside near garden gate sister giggles at the chaos cooky safely tucked away under bed"""
"""jar falls from table stool onto floor spilling cookies all over kitchen sink water splashes everywhere suddenly mother fills up dishes with soapy suds brother slips and tumbles mom rushes in alarm girl spots cookie on ground grabs handful before anyone notices boy outside playing ball gets wet runs inside sister laughs cooky hidden under bed safe for now"""
"""jar falls from table stool onto floor spilling cookies all over kitchen sink water splashes everywhere suddenly mother fills up dishes with soapy suds brother slips and tumbles mom rushes in alarm girl spots cookie on ground grabs handful before anyone notices boy outside playing ball gets wet runs"
"Little boy climbs stool, falls down to cookie jar - mom sees spill and runs water outside; takes long time cleaning up with towel. 2:: Boy reaches for cookies in the dish while standing on a small ladder beside his sister who spills them out of sight.  3: Girl accidentally knocks over little girl’s toy near sink when she trips falling stool, mother quickly grabs wet cloth to mop it all away before water runs down from cookie jar and into bowl outside. 4:: Boy gets caught sneaking cookies in the kitchen window while mom looks through a dish on her hands. Little sister reaches for spilled crumbs nearby.  5: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 6:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with dirty dishes on her hands. Little sister reaches for spilled crumbs nearby.  7: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 8:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with dirty dishes on her hands. Little sister reaches for spilled crumbs nearby.  9: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 10:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with dirty dishes on her hands. Little sister reaches for spilled crumbs nearby.  11: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 12:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with dirty dishes on her hands. Little sister reaches for spilled crumbs nearby.  13: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 14:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with dirty dishes on her hands. Little sister reaches for spilled crumbs nearby.  15: Mother notices boy slipping out of sight near sink when he accidentally spills his drink, grabs towel to clean up before water runs down from cookie jar and into bowl outside. 16:: Boy slips off stool onto wet floor in the kitchen while mom looks through window with"
"""little boy climb stool fall get cookie jar pass mom know spill water run time take to wash quickly similar small guess cover yes foot wet floor outside bad""  """
"""boy find window dish drop little girl see mother cooky slip let juice flow quick clean up hurry same tiny gadget wrong place feet on ground messy out there not good."""
"""cookie fall stool boy reach jar mom notice spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little kid jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little boy jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little boy jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little boy jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little boy jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like small thing guess cover yes foot wet floor outside mess too long""  """
"""little boy jump stove, cookie in dish go down sink pass mother see slip let juice flow quick clean up hurry same little helper wrong place feet on ground messy out there not good."""
"""boy at window look glass jar fall stool spill water run time to wash fast like"
"""little boy see cookie jar climb stool fall get wet floor outside put water in sink spill cooky girl know mother go quickly mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy finds broken dish, look at spilled cookies near window then sees mom rushing to fix it while sister reaches out with a cloth underfoot. he notices wet floor and thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy sees broken dish, looks at spilled cookies near window then notices mom rushing to fix it while sister reaches out with a cloth underfoot. he thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy sees broken dish, looks at spilled cookies near window then notices mom rushing to fix it while sister reaches out with a cloth underfoot. he thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy sees broken dish, looks at spilled cookies near window then notices mom rushing to fix it while sister reaches out with a cloth underfoot. he thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy sees broken dish, looks at spilled cookies near window then notices mom rushing to fix it while sister reaches out with a cloth underfoot. he thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean little gadget guess small cover foot gets dirty on the ground okay hand reach for dry towel""   """
"boy sees broken dish, looks at spilled cookies near window then notices mom rushing to fix it while sister reaches out with a cloth underfoot. he thinks it's time again.""  ""little boy see cookie jar fall down stool get messy outside put water in sink spill cooky girl know mother hurry mop up clean"
"""little boy sees cookie jar on stool, slips and falls to the floor; mom notices spilled cookies while washing hands at sink. hurriedly grabs towel as water runs down from a leaking faucet outside.""   """
"""  ""dinner time: little girl reaches for her favorite chocolate chip treat in dish but it tumbles into bowl of soup near stove where boy is standing by stool, causing chaos and spills everywhere around the kitchen; mom rushes to mop up while daughter giggles uncontrollably. water drips from sink faucet as she scrambles.""   """
"""  ""boy climbs onto small chair next door girl’s bed trying reach cookie jar on top shelf but tumbles down into pail of soapy dishes, sending cookies flying everywhere in the kitchen; mom rushes to clean up while daughter watches with wide eyes and giggles. water spills from sink as she tries help.""   """
"""  ""little boy excitedly climbs stool next door girl’s room trying reach cookie jar on top shelf but tumbles down into pail of dirty dishes, sending cookies flying everywhere in the kitchen; mom rushes to clean up while daughter watches with wide eyes and giggles. water spills from sink as she tries help.""   """
