"topic_model_prompt_ids","topic_model","prompt_id","datasets","example_text_in_prompt","report"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need know list of available cars for sale interested in purchasing a vehicle want to compare prices and features travel booking assistance flight reservation near friday concert tickets availability music streaming playlist recommendations credit card rewards program eligibility points redemption policy account balance check bank statement online banking sign up process loan application approval status home insurance quote rental car agreement cancellation terms"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need new checking rate customer service help with employment benefits enrollment retirement plan contributions payroll deduction options interest rates on savings accounts mortgage refinancing calculator auto title transfer assistance vehicle registration documentation required for driving license renewal travel itinerary planning trip cost estimation airline baggage allowance policy hotel loyalty program membership requirements credit card cashback offers balance inquiry statement fraud alert identity verification process"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need use my flight june booking confirmation date information about flights departing friday weather forecast near destination airport restaurant reservations customer feedback review online banking account creation password recovery two-factor authentication security questions last login activity financial planning investment advice budget tracking expense categorization tax filing assistance direct deposit setup bill payment history credit score monitoring services loan pre-approval status mortgage rate lock agreement cancellation policy"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","look for the right car dealership visit interested in used cars new vehicle financing lease options insurance comparison quotes home appraisal value assessment property taxes and homeowner's association fees road trip planning itinerary entertainment recommendations roadside attraction guide local attractions map rental agency availability travel agent booking assistance vacation package deals credit card cashback rewards redemption terms loyalty program benefits account statement clarification"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need good internet service provider offer for high-speed broadband plan installation customer support troubleshooting technical issues network security updates device compatibility information warranty coverage product recalls and replacements bill payment history usage statistics online banking login trouble shoot forgotten password two-factor authentication enablement fraud protection services bank branch hours opening times deposit slip error resolution credit card lost or stolen report identity theft recovery process"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need good find new restaurant location reviews customer service feedback meal delivery options catering for events food safety standards health inspection compliance menu customization dietary restrictions allergen information online reservation system availability gift cards promotions and discounts account activity summary financial statement breakdown utility bill payment history internet speed test results network outage notification credit card cashback offers redemption conditions loyalty program benefits"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","know tell my bank routing number add fun money check to savings checking balance inquiry recent transactions security alerts fraud prevention features password reset assistance lost or stolen debit/credit confirmation online"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","apply for card credit need transaction report status find out"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need visa go travel cancel car check long distance reservation way macaroni dollars process bank statement"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","create new rate customer service help job auto rollover exchange saving tips how to increase limit possible steps buy order online know which flight book june date near friday song discover step by guide for increasing credit score tell friend about card points reward express american good person find right car go make reservation way macaroni dollars process bank account checking bill pay number change expiration reason time rout check customer service find new restaurant review know set let your banker help with reservations need to understand my national citizen savings plan, how much money I can deposit and the benefits associated. Need assistance in finding a good place for depositing funds."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","tell me about credit card points rewards express american services add fun music playlist find out account details such as routing number check balance pay bill online change expiration date or reason why you need to know it before booking your next trip"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need help with my car insurance policy, I want someone who can guide through the process of finding a new vehicle and explain how rollover works. Also interested in saving money on gas by using more efficient driving habits."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","tell me about bank account options for national citizens like checking savings accounts or credit cards that offer rewards points."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need to know my current card limit, if I have any outstanding balance with an American Express customer service representative who can help check it out and explain how the process works. Also interested in getting a new Visa debit option."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","tell me about this bank's services for national citizens like checking account or savings accounts that offer interest rates on deposits."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need to know my credit score, what is considered good enough so I don't have any issues with loans when looking at car dealerships and need assistance from customer service. Also interested in knowing how long it takes before the new Visa debit card arrives."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","find out about bank account options for national citizens like checking savings accounts or CD's that offer higher interest rates on deposits."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need to know my credit score, what is considered good enough so I don't have any issues with loans when looking at car dealerships"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need to understand how I can cancel a hotel reservation due tomorrow; it's not possible right now. Can you help? I'm looking into getting car insurance and would like some advice on what coverage options are available? Could someone guide us through this new situation with our current policy renewal? Other text 2: I'm curious about the interest rates for my savings account, can anyone assist me in finding out more information or perhaps a better rate option?"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","need to find how I could possibly increase credit limits; is there any step-by-step process available? Can someone guide us through this possible discovery phase of buying? Other text 3: I've misplaced some important documents related with my bank account, can you help me in finding the routing number and other necessary details for a quick resolution?"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I'm interested to know how I could possibly earn points on our credit card rewards program; is there any way we might be able find out more about this? Other text 4: I'm considering buying some new car accessories online but need assistance with choosing between different products. Can someone help me make the right decision in my current situation?"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I have a question regarding how to properly check and pay an account bill, I am not sure if there is any way we can find out what exactly it means. Other text 5: I'm trying figure this car financing deal; could you please tell us about possible interest rates for new cars? Any assistance would be greatly appreciated."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I need help in understanding how to properly use my credit card, and I am not sure if there is any way we can find out what exactly it means. Other text 6: I'm trying figure this car financing deal; could you please tell us about possible interest rates for new cars? Any assistance would be greatly appreciated."
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I'm interested in learning more details on how to properly check my bank account balance, and if there is any way we can find out what exactly it means. Other text 7: I'm curious as of whether I have enough credit points accumulated; could someone tell me the exact amount that I've earned so far?"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I need assistance with understanding why there's an issue in transferring funds between two accounts. Is this something you are able to help us resolve? Other Texts:"
"9-LDA","LDA","9","clinc150","transfer seventy dollar national citizen account","I'm trying figure out how much money is left on my bank account, and I would appreciate it if someone could tell me the exact amount."
