dataset,needs,notes_number,readability,abs_readability_diff,bertscore,meteor,sentiment,subjectivity,abs_sentiment_diff,abs_subjectivity_diff,data,overall_score
0_met,met,270,19.20356613698218,0.42015798674257854,0.18876006546373905,0.15133209118149496,0.1087578225835501,0.4008420038711044,0.8017436326031613,0.22157072221400131,real,0.35671289964099506
0_unmet,unmet,258,21.890750782228828,0.0,0.4109721199702571,0.26021007700092597,0.030019242930830203,0.35600514660659677,0.907007625747518,0.9142604594318544,real,0.49849005643011113
1_met,met,243,21.063673388773843,0.12931868047439288,0.9727743317396589,0.49309374198326145,0.11738708983822152,0.4087631276854528,0.8003192302165165,0.966507562160763,real,0.6724027093149185
1_unmet,unmet,329,19.4510880452431,0.38145640111333934,0.3918367600323548,0.2131945438999315,0.021529665846046653,0.3845905337807205,0.8800667685453291,0.8189617677556278,real,0.5371032482693165
2_met,met,242,20.29902304603088,0.24887650436163733,0.564900427151357,0.47269903725165013,0.18320117846199027,0.4488054211138232,0.9314516852191811,0.8991113498931003,real,0.6234078007753852
2_unmet,unmet,225,21.69759342803239,0.030201350401155236,0.0,0.0,0.010338787937518096,0.37309662230332863,0.9856811726028626,0.3022986177168461,real,0.26363622814417276
3_met,met,262,21.500051578223953,0.061088243886399884,0.9330546357349426,0.7053179310793177,0.11661256351655797,0.3735352473760569,0.8977578657310827,0.9221483735265147,real,0.7038734099916515
3_unmet,unmet,320,19.918000768412323,0.3084517007856963,0.5007755310191715,0.2734735333866392,0.020780776115682062,0.3575255881859655,0.07337949993854809,0.31149373574560224,real,0.29351480017513143
4_met,met,269,19.919885575293968,0.30815699953909925,0.5143446797376484,0.6021985581312582,0.14917334596055387,0.4358204617035273,0.7267128995503997,0.6315371446718412,real,0.5565900563260493
4_unmet,unmet,277,21.329121056405324,0.08781429118174,0.4997385772994966,0.3029947003169519,0.06905967393087042,0.3777881030237915,0.851924824067796,0.8163671686727055,real,0.511767912307738
0_met,met,224,18.20397034612059,0.791973974422078,0.7072387646869205,0.795197691498753,0.19518629642203084,0.46490999641954595,0.688670749331673,0.943232129903511,fake,0.7852626619685872
0_unmet,unmet,310,17.97740233302028,0.8273992885748966,0.7178156926276039,0.4332772895486802,-0.012497175902381431,0.3824723433916268,0.0,0.0,fake,0.39569845415023613
1_met,met,236,17.478212737344226,0.9054506781186328,0.7582863178670115,0.7396195399228884,0.20128512243887547,0.44906437658155274,0.5458372408075264,0.846981673457107,fake,0.7592350900346332
1_unmet,unmet,219,19.66347001307688,0.563772148840594,1.0,0.7036296978861015,-0.005013134475123043,0.38211738082145813,0.9562062170248941,1.0,fake,0.8447216127503179
2_met,met,239,17.122891592928365,0.9610073429533018,0.7048746941446373,0.5315867995499206,0.20228543601376497,0.46736054397039023,0.8223055526913621,0.6608429228999584,fake,0.736123462447836
2_unmet,unmet,285,17.90319640741189,0.8390018453114206,0.6015207581580208,0.48832811568976064,0.022975858810378936,0.36999886546875577,0.8714258329833223,0.7811456509372107,fake,0.716284440615947
3_met,met,291,16.873508092913042,1.0,0.7543817617544797,0.7912964373135203,0.1464456355350133,0.4200380816741887,0.8389404652399055,0.6989477070665834,fake,0.8167132742748977
3_unmet,unmet,247,18.671217072531824,0.7189170506158671,0.8099868529903124,0.6825929015648947,0.053186350642882595,0.3761589114433967,0.9419883296989116,0.29338858859740413,fake,0.689374744693478
4_met,met,183,21.88272694949488,0.21677756172903195,0.9973052998681621,1.0,0.0872476384736861,0.3627982817293478,0.801600287119977,0.4973314504246896,fake,0.7026029198283721
4_unmet,unmet,256,19.947759807715002,0.519321676120789,0.8544181356077951,0.9940792311526532,0.005257909237959462,0.35921470479467826,1.0,0.5320216248678744,fake,0.7799681335498223
