"topic_model","coherence","diversity","redundancy","time","dataset","domain","example_notes","topic_keywords"
"MATAVE","0.4969305951096481","1.0","1.0","6.425270080566406","yahoo","non-factoid question","beat azz year come credit report everyday time place*** SEPARATION ***turtle leave shell like cartoon see slider fat hide leg head case follow proper feeding guideline*** SEPARATION ***wrap time plastic wrap box freeze year fresh use strawberry champagne filling lemon filling use filling choose*** SEPARATION ***copy new font folder window rest","Other topic keywords: report manual resent month charge company lock job economic apr
Other topic keywords: christian cut pie write filthy church israel kinda pastry small
Other topic keywords: increase gas coffee cause temperature blood high stress sleep cat
Other topic keywords: yahoo click file photo page tool chat temporary buy delete"
"LDA","0.40935642532626565","0.9666666666666667","0.9666666666666667","0.13523197174072266","yahoo","non-factoid question","slightly misinformed tumor calcify harden turn bone happen agree kidney failure likely outcome call transplant minimum dialysy life*** SEPARATION ***vestige old roman catholic practice eat fish sunday tradition originate fast transform fast flesh flesh product transform pope gregory allow fish basically bribe fisherman*** SEPARATION ***furry animal cute take dust bath","Other topic keywords: like look time good help way people law state mean
Other topic keywords: want come find eat speed person big cause gas fact
Other topic keywords: work time air use water need child axel long tool"
"MATAVE","0.3800637235432191","1.0","1.0","2.6562399864196777","banking77","banking text","know go charge use card*** SEPARATION ***card get reject try use*** SEPARATION ***transfer keep fail try transfer money friend morning keep get reject reason check issue","Other topic keywords: want tell credit happen find new one small support today
Other topic keywords: atm cash pende early withdraw certain machine belong holiday past
Other topic keywords: exchange rate buy overseas look able age ago american apple"
"LDA","0.49976589673454047","0.7833333333333333","0.8933333333333333","0.03881692886352539","banking77","banking text","want physical card virtual version*** SEPARATION ***withdraw atm past holiday like charge know charge withdraw*** SEPARATION ***hello check transaction see double charge restaurant visit money*** SEPARATION ***need request cash atm actually give wrong app actually choose right*** SEPARATION ***fee think charge pay card*** SEPARATION ***double check card withdrawal work fine far morning way work suddenly get decline","Other topic keywords: card want problem help fix wrong payment app apple express
Other topic keywords: know money account charge go work rate exchange withdraw wrong
Other topic keywords: money transfer keep get reject try check friend hello use
Other topic keywords: card cash pende receive atm app actually need early account
Other topic keywords: card charge go use fee tell item credit happen come
Other topic keywords: work decline get card withdrawal double check morning far way"
"MATAVE","0.4679532002812499","0.9","0.9333333333333333","2.375030994415283","huffPostNews","news","wacky food lie parent tell*** SEPARATION ***like read sign huffpost hill cheeky dose political news evening donald trump hold*** SEPARATION ***storefront art architecture favorite little italy adjacent nonprofit organization organize photo exhibition","Other topic keywords: parent food wacky child chew eat listen study decision justify
Other topic keywords: trump woman death president assault angry take cancer supporter official
Other topic keywords: show window organization photo small accord throw space fashion guinness"
"LDA","0.5441691011093459","0.975","0.9833333333333333","0.09120798110961914","huffPostNews","news","major protest like saturday generally limit urban area like tokyo receive electricity*** SEPARATION ***immigration case occupy half federal criminal docket*** SEPARATION ***precision rockettes dance number window house snap little doohickey let slide smoothly keep go tilt window repairman sure real broken real real expensive price tag real expensive labor*** SEPARATION ***united states climate change brutalize plant honeybee fact price honey america rise percent pundit expect reach high price","Other topic keywords: like say love woman want trump parent great understand world
Other topic keywords: people evening high federal political read week hill fashion day
Other topic keywords: real thing make ozone window new tell call year day
Other topic keywords: child news find think price reason sex hotel guinness president"
"MATAVE","0.3027706011368733","0.4409090909090909","0.8125541125541126","2.867799997329712","clinc150","multi-domain intent","alert bank let know travel brussels*** SEPARATION ***like know fat tbsp olive oil*** SEPARATION ***find good price toothpaste store mile radius location*** SEPARATION ***like cancel reservation hoss steak house*** SEPARATION ***need know interest rate bank america cd account*** SEPARATION ***find favorite destination travel year*** SEPARATION ***like send text jack hi*** SEPARATION ***pizza fridge monday safe eat*** SEPARATION ***wonder list look like today*** SEPARATION ***need reserve table red robin kevin*** SEPARATION ***long walk safeway strip mall*** SEPARATION ***tell carry restriction united airlines*** SEPARATION ***find routing number bank west*** SEPARATION ***hotel good review kansas city*** SEPARATION ***check engine light need look*** SEPARATION ***possible reservation sushi king virginia beach*** SEPARATION ***travel nepal safe safe x*** SEPARATION ***get to know tire pressure","Other topic keywords: card credit discover lost report alert brussels travel let bank
Other topic keywords: fat oil olive tbsp like location mile price radius store
Other topic keywords: location mile price radius store toothpaste good find account airlines
Other topic keywords: cancel hoss house steak reservation like day leave pto let
Other topic keywords: interest rate america cd account bank currently oak get need
Other topic keywords: destination favorite year find travel day leave pto let know
Other topic keywords: hi jack send text like account airlines alert america bank
Other topic keywords: eat fridge monday pizza safe beach king possible sushi virginia
Other topic keywords: enchilada jose shop taco yelp report list today wonder look
Other topic keywords: kevin red reserve robin table need account airlines alert america
Other topic keywords: long mall safeway strip walk account airlines alert america bank
Other topic keywords: airlines carry restriction united tell account alert america bank beach
Other topic keywords: number routing west county find account tell bank need airlines
Other topic keywords: city hotel kansas review good kevin red reserve robin table
Other topic keywords: check engine light look need account airlines alert america bank
Other topic keywords: beach king possible sushi virginia reservation fat oil olive tbsp
Other topic keywords: safe nepal travel account airlines alert america bank beach brussels
Other topic keywords: pressure tire to get know account airlines alert america bank"
"LDA","0.3674655736614246","0.96","0.98","0.020418643951416016","clinc150","multi-domain intent","alert bank let know travel brussels*** SEPARATION ***find good price toothpaste store mile radius location*** SEPARATION ***find routing number bank west*** SEPARATION ***travel nepal safe safe x*** SEPARATION ***get to know tire pressure","Other topic keywords: travel know let beach virginia king alert possible sushi credit
Other topic keywords: like good find reservation location mile radius toothpaste store price
Other topic keywords: bank need rate interest account number routing find cd america
Other topic keywords: safe report look enchilada jose yelp shop county strip safeway
Other topic keywords: know tell get airlines restriction united pressure carry to tire"
"MATAVE","0.39493293257734374","0.68","0.9244444444444444","2.5151660442352295","atis","air travel information system","list flight seattle continental depart pm*** SEPARATION ***flight ua denver san francisco cost*** SEPARATION ***list flight time boston pittsburgh*** SEPARATION ***need flight las vegas los angeles arrive late afternoon available*** SEPARATION ***display flight boston baltimore july thirty*** SEPARATION ***cheap coach fare dallas denver round trip","Other topic keywords: seattle continental chicago dallas beach long louis st stopping california
Other topic keywords: denver sunday airline philadelphia seventh cost september seventeenth ua available
Other topic keywords: class pittsburgh come air night start philadelphia thursday fare information
Other topic keywords: phoenix las vegas memphis sunday detroit charlotte indianapoli milwaukee miami
Other topic keywords: look display thirty coach taxi want fly time round trip
Other topic keywords: fare cheap low dollar dallas ea expensive round trip way"
"LDA","0.32961723214204175","0.725","0.75","0.10137319564819336","atis","air travel information system","cheap fare atlanta san francisco*** SEPARATION ***early flight phoenix salt lake city*** SEPARATION ***list flight class monday san francisco pittsburgh start noon*** SEPARATION ***miami like travel las vegas sunday","Other topic keywords: flight san francisco denver sunday atlanta philadelphia leave pm boston
Other topic keywords: flight baltimore dallas list atlanta arrive boston fare pm seattle
Other topic keywords: flight boston pittsburgh monday francisco san class need morning list
Other topic keywords: beach louis stopping st long dallas flight las vegas like"
"MATAVE","0.3780639924649424","1.0","1.0","3.1438710689544678","medicalAbstracts","medical abstract (current patient condition)","correlation testicular determinant factor sequence zinc finger y vary gonadal phenotype series subject gonadal dysgenesis y aneuploidy deoxyribonucleic acid sample series subject alter y vary gonadal phenotype streak streak n streak testis n testis testis n analyze presence candidate testicular determinant factor sequence zinc finger y specific probe map y centromere b map yp distal respectively hybridize deoxyribonucleic acid study subject deoxyribonucleic acid sample analyze presence zinc finger y sequence subject positive zinc finger y sequence zinc finger y positive subject unilateral n bilateral n testicular differentiation subject bilateral streak gonad seven show presence sequence lack testicular differentiation presence quantitatively normal normal zinc finger y band explain mosaicism mutation detectable analysis method southern occur testicular determinant factor gene vitiate testicular development*** SEPARATION ***scatter photocoagulation restore tissue hypoxia experimental vasoproliferative microangiopathy miniature pig experimental retinal branch vein occlusion argon laser photocoagulation miniature pig induce development ischemic retinal territory associate preretinal neovascularization preretinal partial pressure oxygen measurement ischemic territory sensitive microelectrode establish ischemic retinal area hypoxic scatter photocoagulation ischemic hypoxic territory restore local normal value week report inhibitory effect photocoagulation development retinal neovascularization reversal effect tissue hypoxia*** SEPARATION ***total knee arthroplasty diabete mellitus retrospective study total knee arthroplasty tka patient diagnose diabete mellitus overall infection rate overall revision rate average follow period year wound complication present tka rate deep joint infection diabetic patient statistically high report incidence sepsis nondiabetic patient maximum precaution take diabetic patient have tka minimize wound complication joint sepsis*** SEPARATION ***peritoneal dialysis geriatric patient elderly patient chronic peritoneal dialysis cpd large chronic peritoneal dialysis program compare young patient regard peritonitis rate catheter problem hospital day transfer form therapy mortality peritonitis rate organism similar young old patient catheter replacement common elderly difference hospital day attributable hospitalization vascular disease elderly likely episode peritonitis die change dialysis modality time year continuous ambulatory peritoneal dialysis capd treatment increase mortality difference group small cpd appear acceptable form renal replacement therapy elderly","Other topic keywords: pas antibodie cytochemical blast lymphoblastic lineage esterase fnhtr leukemia cns
Other topic keywords: sheep hypertension ventilate antihypertensive amiloride tgf magnesium lipid ecmo acth
Other topic keywords: aortic aneurysm carotid atrial interval repair av stroke tachycardia pathway
Other topic keywords: bowel fistula crohn cushing elderly fistulae signal esophageal gastroplasty derby"
