"topic_model_prompt_ids","topic_model","prompt_id","datasets","example_text_in_prompt","report"
"0-LDA","LDA","0","banking77","price expired card replacement long","is there something wrong with using cash at a gas station when"
"0-LDA","LDA","0","banking77","price expired card replacement long","card replacement fee charged late notice card expired request refund"
"0-LDA","LDA","0","banking77","price expired card replacement long","card replacement cost expired fee charge"
"0-LDA","LDA","0","banking77","price expired card replacement long","need help with account charges on my card for an extra payment this month."
"0-LDA","LDA","0","banking77","price expired card replacement long","My credit limit is reaching its maximum, I need to add more money before making a purchase today. Can you assist?"
"0-LDA","LDA","0","banking77","price expired card replacement long","I want the ability of transferring funds directly from one bank app wallet service without using another method like cash or ATM withdrawals."
"0-LDA","LDA","0","banking77","price expired card replacement long","Can we get our card replaced as soon I'm charged an extra fee for my recent transactions?"
"0-LDA","LDA","0","banking77","price expired card replacement long","Is it possible to receive money back on a purchase I made with this wrong credit/debit transaction?"
"0-LDA","LDA","0","banking77","price expired card replacement long","I've been told that there's going be some sort of charge when transferring funds from one account into another, can you explain the process and any fees involved?"
"0-LDA","LDA","0","banking77","price expired card replacement long","I need help understanding why my card was declined for payment today."
"0-LDA","LDA","0","banking77","price expired card replacement long","Can we discuss a possible way to avoid extra charges on our monthly bill?"
"0-LDA","LDA","0","banking77","price expired card replacement long","Is there a fee associated with transferring funds between my checking and savings accounts?"
"0-LDA","LDA","0","banking77","price expired card replacement long","I've been charged multiple times recently without prior notice; can we resolve this issue?"
"0-LDA","LDA","0","banking77","price expired card replacement long","card replacement fee expired notice"
"0-LDA","LDA","0","banking77","price expired card replacement long","seller extra charge for card processing payment issue resolved successfully today."
"0-LDA","LDA","0","banking77","price expired card replacement long","solders' compensation for handling card payments during busy season is now increased."
"0-LDA","LDA","0","banking77","price expired card replacement long","user wants to understand if using a different payment method will avoid additional transaction costs"
"0-LDA","LDA","0","banking77","price expired card replacement long","seller offering discount on next order if customer faces issues due to payment processing fees"
"0-LDA","LDA","0","banking77","price expired card replacement long","user concerned about high transaction rates when using a credit/debit account online purchase."
"0-LDA","LDA","0","banking77","price expired card replacement long","solders' assistance with troubleshooting failed card payments and refund processes"
"0-LDA","LDA","0","banking77","price expired card replacement long","user confused about how to get a charge reversed for unauthorized transaction on their account."
"0-LDA","LDA","0","banking77","price expired card replacement long","solders' advice sought regarding international transactions and associated fees"
"0-LDA","LDA","0","banking77","price expired card replacement long","user frustrated with frequent foreign transaction surcharges on their credit/debit account."
"0-LDA","LDA","0","banking77","price expired card replacement long","""why am i always being charged extra for using a debit or cc when making purchases overseas?"" ""can you help me understand the different types of charges that apply to my card usage"""
"0-LDA","LDA","0","banking77","price expired card replacement long","solders' guidance requested about avoiding unnecessary fees during online shopping"
"0-LDA","LDA","0","banking77","price expired card replacement long","user inquiring if there's an option available without paying additional shipping and handling costs."
"0-LDA","LDA","0","banking77","price expired card replacement long","solders' help requested with setting up recurring payments to prevent future payment issues"
