"topic_model_prompt_ids","topic_model","prompt_id","datasets","example_text_in_prompt","report"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Boston to Miami, return flight Tuesday"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight San Francisco via Los Angeles on Friday evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for a cheap Dallas-Miami airline option; prefer Southwest Airlines if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Morning flights from New York City departing early Wednesday morning and arriving in Chicago by late afternoon Thursday?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Need help with booking an Atlanta-North Carolina round trip flight, looking to leave Raleigh next Monday at 9 AM on Delta."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight options for Friday evening between Houston-Tampa-LA or Dallas-Ft. Lauderdale-San Antonio; prefer nonstop flights if available from United Airlines?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Searching Chicago-Miami airline tickets departing Sunday morning and returning the following Tuesday night via American Airline, looking to stay under $300 per person round trip. Flight New York-JFK Miami on Thursday evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Boston-New Orleans preferred with Delta or JetBlue for a one-way ticket; prefer non-stop flights if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Interested in Chicago-Miami airline tickets departing Friday morning and returning Sunday night via Allegiant Air, looking to stay under $200 per person round trip. Flight San Diego-LA on Saturday afternoon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Dallas-Ft Lauderdale-San Antonio or Houston-Tampa options preferred for a weekend getaway; prefer Southwest Airlines if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking into Chicago-Miami airline tickets departing Friday morning and returning Sunday evening via JetBlue, looking to stay under $250 per person round trip. Flight New York-JFK Miami on Wednesday night."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Boston-New Orleans with Delta or American Airline recommended one-way ticket for a weekend getaway; prefer non-stop flights if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking into Atlanta-Miami airline tickets departing Friday morning and returning Sunday evening via Frontier Airlines, looking to stay under $150 per person round trip. Flight Los Angeles-San Francisco on Saturday afternoon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight San Diego-LA or Las Vegas options preferred for a weekend getaway; prefer Southwest Airline flights if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking into Seattle-Tampa flight schedule this week with Alaska Air and United airlines as alternatives from Friday evening to Sunday night, looking at different class availability. Flight Miami-New York City round trip on Saturday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Atlanta-Miami or Orlando return options preferred for a weekend getaway; prefer JetBlue Airlines if possible."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking into Dallas-Ft Lauderdale-San Antonio flight schedule this week with American and Delta airlines as alternatives from Friday evening to Sunday night, looking at different class availability. Flight San Francisco-Los Angeles on Saturday morning."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Seattle-Tampa or Denver options preferred for a weekend getaway; prefer Southwest Airlines"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for a flight Friday June 11th from St. Petersburg to Milwaukee, then on Tuesday morning in Chicago."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Interested flights between Dallas and Baltimore with an option of stopping over at Miami; airline: Southwest Airlines cost details needed."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I need the schedule if I fly Atlanta early Thursday PM leaving Denver heading towards Boston by Air Canada flight AC1234 for next Friday's departure, arriving Philadelphia DC time-wise on Saturday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Is there a way to get from Pittsburgh in an evening after 6pm with Delta Airlines that arrives back home at Buffalo around midnight? The route should be via Chicago and then Detroit."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Can you book me the best flight for next Wednesday morning between New York City, Boston MA heading towards Orlando FL; I prefer flying American airlines."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking to fly from San Francisco on a Friday evening with Delta Airlines that has layovers in Las Vegas before reaching Los Angeles. The total travel time should be under 6 hours."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Is there an available flight departing Houston around noon, next Tuesday via Southwest Airline SW1234 and arriving back home by Saturday morning?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I need to book a direct round trip from New York City on Friday evening with Delta Airlines going straight through Chicago for the entire journey; Boston as my destination."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Find me an affordable flight departing Orlando FL in early September, heading towards Washington DC via American airlines and returning home by Sunday night."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking into flights leaving Los Angeles next Thursday morning bound to Seattle WA on Alaska Air with a layover at Las Vegas NV. How long will the entire journey take?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Can you help me find an affordable flight departing Dallas TX in early September, heading towards San Francisco CA via Southwest Airlines and returning home by Sunday evening?"
