"yahoo","banking77","huffPostNews","clinc150","atis","medicalAbstracts","dementiaAudio","syntheticCareHomeNurseNotes","clinicalDialogueSummarizations","simSUM"
"The other answers are all good, but if you are asking how to do it legally, you need to check your state's laws and cases, and if you can't, you really need to check with a lawyer who does evictions.. . Another way is to change the locks when they are out.. . Not all state allow self-help evictions, so if the in-laws are likely to go to a lawyer if you try to throw them out, you really do need to chack with a lawyer in your area.","I want to find out what happened to my new card?","There is nothing more upsetting to a runner than suffering an injury. Weeks, months, and even years of training and fitness can be jeopardized by a slip on the ice, a turn of the ankle, or a chronic overuse injury. Here are some simple ways you can avoid injury and stay sane.","would you repeat what you just said"," i need a flight to seattle leaving from baltimore making a stop in minneapolis","Suppression of mouse mammary tumorigenesis by long-term tamoxifen therapy. A sustained release of tamoxifen, which produced decreasing serum levels of this drug (24 to 4 ng/mL) over 6 months, suppressed mammary tumorigenesis in virgin or once pregnant C3H/OUJ female mice. Tamoxifen was consistently more effective than early ovariectomy, which only delayed tumorigenesis. Tamoxifen prevented the stimulatory action of cyclical (alternate-month) progesterone administration on mouse mammary tumorigenesis. However, when tamoxifen treatment (12 months) was stopped, progesterone treatment initiated tumorigenesis. In contrast, when long-term tamoxifen treatment was stopped in mice that had not undergone ovariectomy, and estrous cycle returned, the majority of these mice remained tumor free. A comparison of different durations (3, 6, and 12 months) of tamoxifen treatment of virgin mice, starting at approximately 4 months of age, showed an equivalent effect on mammary tumorigenesis. All virgin mice developed tumors by 18 months of age, whereas 80% of the tamoxifen-treated mice were tumor free. Nevertheless, cyclical progesterone administration caused rapid development of tumors after 3 months of tamoxifen treatment; only 15% of these mice were tumor free at 18 months. Cyclical progesterone administration caused an increase in tumorigenesis after 6 months of tamoxifen treatment; 50% of these mice were tumor free at 18 months of age. These data demonstrate the efficacy of tamoxifen to suppress mouse mammary tumorigenesis and demonstrate that continuous tamoxifen therapy is necessary to prevent the development of tumors by progesterone, a stimulatory hormone. ","okay . a little boy is stepping on a stool that's cockeyed . and it isn't a ladder it's a stool . and it's a three legged stool . and he's getting cookies outof a jar . and he's handing a cookie to the little girl who's saying “ shh ” to the mother . and the mother is wiping dishes with water running all over the kitchen floor . and oh god . oh she' she has an open window . and there are bushes in front of the window either in the house next door or some place else . and then there's a tree that doesn't have a trunk . xxx . and xxx . there are two cups and the handles are in opposite directions . and she's sort of dumb because she doesn't turn off the water . she's letting it run on her feet . and half of the kitchen cupboard doors don't have handles . I don't think xxx . and she's wiping the dish with two towels . and she isn't watching her dear darling children fall off the stool . okay isn't that about enough ? ","12. Fred enjoyed watching his favorite TV show in the afternoon. He was engaged and entertained throughout the episode.","He is a petroleum engineer for Chevron.  Drinks socially.  Does not use tobacco.","**History**
Pt reports nasal congestion and mild cough x3 days. Nasal congestion noted to be persistent, causing occasional difficulty breathing through nose at night. Cough described as dry, infrequent, and non-productive. Mild SOB on exertion also reported. Pt has hx of smoking, possibly worsening respiratory s/s.

**Physical Examination**
VS WNL. Nasal exam: moderate congestion, no significant discharge. Chest: clear lungs B/L, no wheezes, rales, rhonchi. CV exam: normal heart sounds, no murmurs. SpO2 at 96% on RA. No chest wall tenderness or use of accessory muscles on insp."
"If it is commericial it is simple you can use any travel website. If it is nostalgic or antique then it is different.","I wish to top up using a cheque.","Honest Toddler has been thinking a lot about food lately. Last month, he shared four recipes that get his approval. ""Both","what's the water bill"," list the flights arriving in atlanta from baltimore before noon on august fourth","Prognostic determinants in extracorporeal membrane oxygenation for respiratory failure in newborns. Extracorporeal membrane oxygenation (ECMO) is becoming an accepted therapeutic modality for newborn respiratory failure, but there is little information available regarding the prognostic determinants with this technique. One hundred thirty-five newborns treated with ECMO over a 4-year period were critically analyzed with regard to the influence that birth weight, gestational age, age at initiation of ECMO, best blood gases before ECMO, number of hours on ECMO, renal failure, intracerebral hemorrhage, and long-distance air transport had on survival. Infants with meconium aspiration and those undergoing long-distance transfer showed significant differences in blood gases before ECMO, with survivors having more normal pH and carbon dioxide tension values. Intracerebral hemorrhage and renal failure that developed during ECMO were grave prognostic signs, with few survivors in either group. These data show that ability to ventilate patients before ECMO, giving normal carbon dioxide tension and pH values, is an important prognostic sign in infants with meconium aspiration and undergoing long-distance transfer for ECMO, whereas renal failure and intracerebral hemorrhage are usually lethal complications of ECMO. Each center performing ECMO should continually reevaluate this invasive technique and its results and complications. ","well he's into the cookie jar . and the stool is falling down . she's doing dishes . and the sink's running over and wetting her feet . and she doesn't look too happy . anything else ? she's drying the dishes . right ? and the kid's in the cookie jars . how many things are sposta be wrong xxx ? ","23. Harper expressed a desire for a chat with a fellow resident and engaged in a lively conversation about shared interests. She felt a sense of camaraderie and connection in the interaction.","None Past Psychological History: None","**History**
Pt denies dyspnea or cough, reports good resp health. States no limitations on phys activity, daily tasks easy without resp effort. No changes in sleep pattern or fatigue related to breathing.

**Physical Examination**
Pt well, no acute distress. Lungs CTA bilaterally, no wheezes/crackles/rhonchi. RR normal, no accessory muscle use. SpO2 98% RA, no cyanosis/clubbing. Percussion resonant and symmetrical."
"It is a curvature of the lower spine that if you looked at your spine on an x-ray, would look like your bottom was sticking out a bit far.. Some believe it is heredity, some believe posture ?","I am having problems with my physical card.","My advice: Cry. Often, if you need to. Get a plastic baseball bat and hit a pillow, hard. Take kickboxing or run. Dance. Do yoga. Move the feelings through your body.","i need help to transfer my 401k"," what flights are there from minneapolis to newark on continental","Cardiac tamponade and contralateral hemothorax after subclavian vein catheterization. A patient developed life-threatening cardiac tamponade and contralateral hemothorax after insertion of a subclavian catheter in the operating room. Contrast was infused through the catheter, demonstrating its malposition in the pericardial space. Contrast infusion was valuable in evaluating this complication of central line placement. ","well the boy is in the cookie jar . and his sister is trying to take it from him . and he's on a stool going like this . and then there's a female over here with a plate in her hand that she's drying dishes . the water went overboard on this one on this sink . it's on the floor . and the boy's getting cookies . and his stool is wobbling . right here see . ","- William's family visited him today and he was in good spirits. ","The patient is a 41-year-old female who presented to me with severe cervical spondylosis and myelopathy.  She was referred to me by Dr. X.  The patient underwent a complicated anterior cervical discectomy, 2-level corpectomy, spinal cord decompression and fusion with fibular strut and machine allograft in the large cervical plate.  Surgery had gone well, and the patient has done well in the last 2 days.  She is neurologically improved and is moving all four extremities.  No airway issues.  It was felt that the patient was now a candidate for a halo vest placement given that chance of going to the OR were much smaller.  She was consented for the procedure, and I sought the help of ABC and felt that a PMT halo would be preferable to a Bremer halo vest.  The patient had this procedure done at the bedside, in the SICU room #1.  I used a combination of some morphine 1 mg and Versed 2 mg for this procedure.  I also used local anesthetic, with 1% Xylocaine and epinephrine a total of 15 to 20 cc.","**History**
Pt here for check-up, reporting sporadic dizziness, mainly upon standing. Denies fever, dyspnea, CP, airways pain, sneezing, blocked nose, and cough. Adequate fluid intake; inconsistent meal timing. Home BP roughly stable.

**Physical Examination**
BP: 116/70 sitting, 112/68 standing; HR: 71-72 bpm; SpO2: 97%. Normal heart sounds, clear lungs, no murmurs. Normal gait, intact cranial nerves, normal sensation/strength.
"
"When the first fart was blown, and the first woman gagged. This is prehistoric humor and still triggers laughter even though we are civilized and know the science, it's still drop to the floor funny when you see someone off guard walking into an air biscuit.","I made a withdraw from the ATM this past holiday and it seems like a was charged too much. If I would have   known about these charges I wouldn't have made a withdraw.","It's one more sign that the Kurds, key to defeating ISIS, are unlikely to embrace Assad as a partner.","get rid of my to do list"," what flights are available from denver to philadelphia on monday","Diagnosis of tracheal injury in mechanically ventilated premature infants by flexible bronchoscopy. A pilot study. Flexible bronchoscopy (FB) is uniquely suited for the study of large airway lesions in the ventilated premature infant. However, no standardized clinical scoring system of distal tracheal injury exists and the adverse consequences of FB in ventilated premature infants are not well described. Using a prototype Olympus fiberoptic ultrathin bronchoscope with a directable tip and an outer diameter of 2.2 mm, we serially scored distal tracheal injury in conventionally ventilated premature infants on the basis of mucosal and obstructive changes observed at bronchoscopy. In addition, we prospectively evaluated the incidence of adverse cardiovascular and pulmonary effects during, immediately after, and within 1 h of FB. We performed 21 FBs in eight conventionally ventilated premature infants with birth weight of 1,239 +/- 438 g and gestational age of 30 +/- 3 weeks. The carina and mainstem bronchi were easily visualized in all infants using the prototype bronchoscope. During the first several days of life, moderate-to-severe distal tracheal mucosal injury occurred frequently, while moderate-to-severe obstructive injury occurred infrequently. Distal mucosal injury appeared to improve during the fourth week of life. Mild distal obstructive injury began to appear during the second week of life. Adverse consequences of FB observed in our patient population included transient hypoxemia and bradycardia during FB, changes in systolic blood pressure immediately and within 1 h after FB, and emesis immediately after FB. Serious adverse cardiovascular or pulmonary effects were not observed. We conclude that FB can be performed safely with appropriate monitoring and is a useful tool in the clinical assessment and serial evaluation of distal tracheal injury in ventilated premature infants. We speculate that moderate-to-severe distal tracheal mucosal injury may be associated with the development of later obstructive injury. On the basis of this preliminary study, further prospective investigations of tracheal injury in ventilated premature infants appear to be warranted. ","well I'm seeing alotof water that isn't sposta be where it is . a full sink with more water running down all the way to the floor . a stool that's going to project somebody into a fall and real fast . getting outof the cookie jar . dishwashing and drying . and a girl trying to say “ silent ” sothat they won't be caught . two cups and a plate that probably are dry and then the other plate is being dried . a cupboard door that's open . that stool though , I don't know what he's going to do with that . I don't know why the water's left on . it's gonna make a mess . she's drying the plate or the dishes or whatever it is that she's working on . and ofcourse that cupboard door is open . if it hadn't been opened why maybe he wouldn't have gotten his cookies . well otherwise it' it's except for the two accidents it's not too bad . but the boy hasn't gotten down to his fall yet . that's the way with boys youknow . ","- Resident N has been showing signs of increased agitation and restlessness, which is impacting their overall quality of life. ","Toothache.","**History**
Pt presents with persistent, irritating cough for past few days. Reports nasal congestion & rhinorrhea; no fever. Describes burning pain in windpipe, esp. during coughing. No sputum production mentioned.

**Physical Examination**
Vitals WNL. Nasal turbinates swollen, clear discharge noted. Throat: mild erythema. Lung auscultation: clear BS, no wheezes/crackles. No cervical LAD. Chest wall non-tender, symmetrical expansion. Pt appears well, non-toxic."
"Nobody wants the guy next to em... to see em...singin.  lol!","Why isn't top-up working? My top-up money disappeared after I saw that it was successfully transferred. Is it gone? Where did it go?","Nailed it. 😂","how can you assist me"," show me flights from philadelphia to san francisco on wednesdays","Significance of blasts in low-cell-count cerebrospinal fluid specimens from children with acute lymphoblastic leukemia. The purpose of this study was to determine whether the presence of more than 5% blasts in a differential count of cytocentrifuged cerebrospinal fluid (CSF) with less than 6 leukocytes/microliter was predictive of central nervous system (CNS) relapse in children with acute lymphoblastic leukemia (ALL). A double concentrate method of cytocentrifuge preparation was used to analyze 4543 consecutive CSF specimens from 349 children with ALL between January 1, 1982, and September 30, 1988. One hundred nine CSF specimens from 58 evaluable children had less than 6 leukocytes/microliter and more than 5% blasts on cytocentrifuge differential count (low-cell-count specimen with blasts [LCB]). During the study period, 25 of 332 evaluable children (7.5%) had CNS leukemic recurrence. In 22 of 25 (88%), the CNS relapse was preceded by at least one abnormal low-cell-count CSF specimen. One of 34 patients with a single LCB at diagnosis (3%) had subsequent CNS relapse compared with five of eight patients (62.5%) with a single LCB during remission (P = 0.0002). Of 16 children with two or more LCB during remission, nine (56%) had CNS relapse defined by standard criteria, whereas six additional patients in this group were declared to be in CNS relapse on the basis of their repetitive LCB. Whether diagnosing CNS recurrence earlier in its course based on a modification of the definition of CNS leukemia will change the frequency of subsequent adverse events or make possible decreased intensity of CNS retreatment remains to be determined. ","and you're gonna draw the picture ? oh yeah . the little girl looking up at the little boy . she wants a cookie jar . and he's gonna fall and get hurt . and mother's probably looking at these show here the water coming outof the spigot . she got her hands full . and so I don't know . they're gonna have a mess xxx xxx . and she's wiping the plate off with her and the water breaking through on the and that's coming out on the floor . let's see . that and outside , I don't know . ain't much outside . that's about it . ","14. Resident 14 has been complaining of persistent pain in her joints. She requires regular pain management to help alleviate her discomfort and improve her quality of life.","Noncontributory.","**History**
Pt c/o productive cough x5 days; mucus described as thick, yellowish. Worse in AM. Also reports nasal congestion and rhinorrhea. No fever or resp pain. Smoker; acknowledges smoking might contrib. 

**Physical Examination**
VS WNL. Chest exam: CTAB, no wheezes or crackles. NP exam: mucosal swelling, d/c noted. No significant LAD or oropharyngeal erythema. Throat unremarkable, no PND. Pulm efforts non-labored, with adequate air entry B/L."
"Redemption. The return of an investor's principal in a security, such as a stock, bond, or mutual fund.. . Investopedia Says: Redemption of mutual fund shares from a mutual fund company must occur within seven days of receiving a request for redemption from the investor.","I need to know where my funds come from.","With the copyright expiring on ""Gatsby"" and many other works, fans have Muppets on the mind.","is there a travel alert for scotland"," list all flights from seattle on continental which depart after 430 pm","The severity of coronary atherosclerosis at sites of plaque rupture with occlusive thrombosis. Atherosclerotic plaque rupture with superimposed thrombosis is recognized as the lesion causing greater than 90% of acute myocardial infarctions. To determine the severity of atherosclerosis at the site of plaque rupture, 184 coronary arteries from autopsies of 162 patients who died of acute myocardial infarction were studied. There were 102 men, 72 +/- 10 years old (mean +/- SD), and 60 women, 75 +/- 8 years old. All arteries were dissected from the heart, fixed, decalcified, cut at 2 to 3 mm intervals and processed routinely for histologic examination. A planimeter was used to measure artery, plaque, thrombus and luminal cross-sectional area at the site of plaque rupture with thrombosis in sections projected at x13.8 magnification. At the site of atherosclerotic plaque rupture with superimposed thrombosis, the degree of stenosis due to plaque was: 90 +/- 7% for the right (n = 67), 91 +/- 6% for the left anterior descending (n = 79) and 91 +/- 6% for the left circumflex (n = 38) coronary arteries. Plaque rupture in fatal acute myocardial infarction occurs at sites of severe narrowing (mean 91%, range 67% to 99%). Thus, plaque rupture with thrombosis is unlikely to cause the fatal acute myocardial infarction in patients with mild to moderate coronary stenosis. ","there's the action . there's the action as opposed to state yeah action alright . alright . the girl is holding her finger up to her face . is it that kind of thing ? alright reaching out her hand for a cookie . her brother has one cookie near her hand . in his right hand he is reaching in the cookie jar . the stool is falling over . he has his xxx . alright . the woman is wiping the dishes . she's holding plate in one hand and drying with the other . water's spilling outof the sink . and the water's running outof the faucet filling the sink . looks as if maybe there's a breeze blowing in the curtain . yes there is a breeze blowing in the curtains . the woman is smiling . they're all smiling . each one is looking at xxx . xxx at the other person the water is splashing . okay ? ","4. John's family called to check on his condition and requested an update on his care plan. He appeared comfortable and rested.","All siblings are on antibiotics for ear infections and URIs.","**History**
Pt reports intermittent HAs x 1 month, described as dull ache around temples, lasting several hrs, occasionally intensifying. Triggers incl stress and prolonged screen time; rest helps. Denies photophobia, N/V, or aura. No h/o similar HAs.

**Physical Examination**
VS normal: BP 118/78 mmHg, HR 72 bpm. Cranial nerve exam NL. No scalp, temporal artery, or neck muscle tenderness. Neuro exam: motor & sensory NL. No lymphadenopathy; fundoscopy NL. Coordination and gait NL."
"At 16, I'd recomment a local grocery store.  They are great for first time jobs.  Usually you'll get flexible hours and have people working there the same age as you.","how to activate card?","The recently-opened Orlando Tree Trek Adventure Park -- a series of obstacle courses set among windswept pines -- is a worthy addition. And this one's definitely got altitude.","yes, that is actually true"," please show me all one way first class flights from indianapolis to memphis","Scatter photocoagulation restores tissue hypoxia in experimental vasoproliferative microangiopathy in miniature pigs. Experimental retinal branch vein occlusion using argon laser photocoagulation in miniature pigs induced the development of ischemic retinal territories associated with preretinal neovascularization. Preretinal partial pressure of oxygen (PO2) measurements on the ischemic territories, using O2-sensitive microelectrodes, established that the ischemic retinal areas were hypoxic. Scatter photocoagulation of these ischemic hypoxic territories restores the local PO2 to the normal values within 2 weeks. Hence, the reported inhibitory effect of photocoagulation on the development of retinal neovascularization could be due to a reversal effect on tissue hypoxia. ","alright ? mother's doing the dishes . the sink is overflowing . the stool is falling . the boy is going for the cookies . she's reaching out for him . the mother's looking out the window . sink is overflowing . let's see . they use the sink . the boy reaching down to give her the cookie . I think that's it . ","- Mr. Roberts experienced tightness of breath after showering. Nurse conducted assessment and provided oxygen therapy as needed. ","Mother died age 89 of ""old age."" Father died age 89 of stroke. Brother, age 74 with CAD, Sister died age 30 of cancer.","**History**
Pt c/o low back pain persisting for 1 wk after heavy lifting during a move. Describes pain as sharp, localized to lumbar region, worsened by bending/lifting. Denies pain radiation, numbness, or tingling. No trauma Hx. Applied heating pads and taken NSAIDs w/ some relief. No urinary/bowel dysfunction.

**Physical Examination**
VS stable. Lower back inspection: no swelling or bruising. Palpation: tenderness over lower lumbar area, no muscle spasms. ROM limited by pain on forward flexion. SLR test negative. Reflexes and motor strength in LE intact."
"This is the same""How do we know the sound that the dinosaurs made""? Just educated guessing but if they are some artefacts like an instrument then i'm sure this would shed a little light on this.","My source of funds require verification.","Manafort and Trump Jr. will testify in public, while Kushner will testify in a closed-door session.","alert my bank and let them know that i'm travelling to brussels"," flights from montreal","Myocardial epinephrine sensitization with subanesthetic concentrations of halothane in dogs. The authors investigated myocardial epinephrine sensitization by subanesthetic concentrations of halothane. The dose-response relationship for the action of halothane was examined with etomidate plus varying subanesthetic concentrations of halothane in dogs. The arrhythmogenic threshold of epinephrine was decreased in a dose-dependent manner at end-tidal concentrations of halothane between 0.1 and 0.3%. At end-tidal halothane is greater than 0.3%, and no further reduction of arrhythmogenic threshold of epinephrine occurred. The plasma concentrations of epinephrine producing four or more premature ventricular contractions in 15 s were 201.3 +/- 34.3, 98.1 +/- 13.9, 60.3 +/- 8.63, 57.9 +/- 12.8, 54.5 +/- 8.61, and 53.9 +/- 4.86 ng/ml (mean +/- SEM), at 0, 0.1, 0.3, 0.5, 1.0, and 1.5% of halothane at end-tidal concentrations, respectively. The results suggest that in the presence of etomidate, halothane produces myocardial sensitization to epinephrine at subanesthetic concentrations as low as 0.1%. Increasing halothane to 0.3% produces a further reduction in the arrhythmogenic dose of epinephrine. ","the mother is drying the dishes . and the faucet's on and the sink is running over and splashing the floor . and the boy is taking cookies outof the cookie jar and he's on the stool and the stool is falling over . and the girl is saying be quiet . and she's put her hand up ready to take a cookie that he's gonna pass her . and the window is open . the mother's standing in the water . she's doesn't oh what' what's going on . you don't want any of what's in the picture right ? there's a cup and she's already dried two cups and a dish . and that's it . the lid is off the cookie jar . I guess that's about it . ","- Samantha has been experiencing increased confusion and disorientation. A review of her cognitive status and possible interventions to improve her mental clarity are needed. ","No known medical allergies.","**History**
Pt c/o sharp, intermittent respiratory pain in lower chest for 3 days, worsened by deep breaths and sudden movements, rated 6/10. No hx of prior resp conditions, denies trauma/injury. Works desk job, no significant physical activity recently. Nonsmoker, occasional EtOH, no allergies.

**Physical Examination**
Pt in mild distress due to pain. Vitals WNL. Lung auscultation: clear breath sounds bilat, no wheezes/rales/rhonchi. Slight tenderness on palpation of lower anterior chest wall. Percussion: normal. Resp effort unlabored. No cyanosis, clubbing, or peripheral edema. Exam otherwise unremarkable."
"Well, if I understand correctly, ""shemales"" are people with part of a female and parts of a male, and most ""shemales"" have breasts like a woman, but a penis like a man. There aren't too many woman who look like a man above the waist and a woman below, althought there have been some people who look like men but are born without genitalia or seriously deformed genitalia. So my guess as to how you become a 'shemale"" would be to get breast implants but leave the dangly bits below. Oh, and dress like a woman so you can give them a REAL surprise when they get you home...","How long does the cash withdrawal take to pend?","Granted, the pool is an undoubtedly important element for most people vacationing on a tropical island. But if the culture was right there on the premises it would be much easier to combine the two...","i would like to know how much fat is in tbsp of olive oil"," flights from atlanta to washington dc","Pneumocystis carinii pneumonia complicating somatostatin therapy of Cushing's syndrome in a patient with metastatic pancreatic islet cell carcinoma and Zollinger-Ellison syndrome. Described is the case of a 73-yr-old woman with metastatic pancreatic islet carcinoma that manifested initially as Zollinger-Ellison syndrome followed by onset of endogenous Cushing's syndrome, who developed Pneumocystis carinii pneumonia while on therapy with a long-acting somatostatin analog. Although P. carinii pneumonia has been observed in patients with Cushing's syndrome associated with other conditions, this is the first reported case in a patient with Zollinger-Ellison syndrome. Heightened awareness of the possibility of opportunistic infections in patients receiving somatostatin therapy for Cushing's syndrome of any cause, particularly Zollinger-Ellison syndrome, may be warranted. ","the little boy is in the cookie jar and standing on a stool that's falling out from under him . and the mother is washing dishes in the kitchen sink but she doesn't have the plug in . and she's having a flood . that's it . ","- Patient P participating in organized activities and engaging with other residents. Social interaction improving. Skin assessments conducted regularly, no issues found.- ","Female Reproductive Hx: (+) birth control pill use, Childhood Illnesses: (+) chickenpox, (+) measles.","**History**
Pt reports intermittent mild HA x2 wks, mainly PM, relieved by OTC analgesics. No vision changes, nausea, or photophobia. No recent trauma/stress. Adequate hydration noted, 7-8 hrs sleep/night.

**Physical Examination**
VS WNL. Neuro exam normal, CN II-XII intact. No scalp/temporal tenderness. Sinuses nontender. CV and resp exam normal on auscultation."
"OK, here is what the on line reference says that it is. Often metaphysical of or relating to the poetry of the 17th century. English poets whose verse is characterized by an intellectually challenging style and extended metaphors comparing very dissimilar things. I hope that this helps.","Which fiat currencies do you support?","We're not crying at ALL.","i need for you to play my maroon 5 playlist"," i want to find a flight from boston to atlanta","Clinical significance of white cell antibodies in febrile nonhemolytic transfusion reactions. Febrile nonhemolytic transfusion reactions (FNHTRs) are associated with white cell (WBC) antibodies. The purposes of this study were to determine the frequency of WBC antibodies, to associate the severity of reactions with antibody specificity, and to distinguish FNHTRs from infection and postoperative fever. By using the granulocyte indirect immunofluorescence test in conjunction with lymphocytotoxicity testing, it was found that 70 percent of FNHTRs in 24 patients involved WBC antibodies. The remaining 30 percent of apparent FNHTRs were associated with infections and postoperative fever. Granulocyte-specific antibodies were as prevalent as HLA antibodies and were associated with the severest reactions. Because FNHTRs occur with granulocyte-specific antibodies, HLA antibodies, and possible monocyte-specific antibodies (untested in this and other studies), these reactions could be grouped together as WBC-associated reactions. ","okay the mommy is drying the dishes . the boy is taking a cookie from the cookie jar . and he's gonna hand it to his little sister . and the stool is toppling over as the kid is standing on . and the water's dripping outof the sink . okay ? ","- Elijah had a restful night and woke up feeling refreshed. ","Adult-onset diabetes.","**History**
Pt reports light dyspnea (DOE and occasional nocturnal) over the last few days. No cough. Pt has asthma and is adhering to management plan; concerned symptoms linked to weather or allergies. No recent med changes or known irritant exposure (e.g., smoke/environmental pollutants).

**Physical Examination**
Pt in no acute distress. Lung ausc. reveals mild-moderate bilateral wheezing, no crackles/rales. Resp. rate slightly elevated, no accessory muscle use. Heart sounds normal (no murmurs, rubs, gallops). O2 sat at 96% on RA. No peripheral edema, extremities WWP. PEFR slightly reduced from baseline, no desaturation events during exam."
